Just Fruit (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Salt;1.50;g;2;;;;;;100.00;5.90;;;;1
❔Beet Root Powder (organic) [Mandoi];1.50;g;2;347.00;1.00;70.00;46.00;14.10;0.10;;;*optional*, for color (strawberry, watermelon, cherry);;
❔Matcha green tea powder (organic) [Mandoi];1.00;g;2;383.00;3.90;65.40;;29.30;0.01;;;*optional*, for color (melon, kiwi);;
❔Turmeric;1.00;pinch;2;;;;;;;;;*optional*, for color (mango, pineapple);;
;;;;;;;;;;;;;;
Water to MAX line;61.00;ml;3;;;;;;;;;;;1
Flavor drops (sucralose) [IronMaxx];≈5;drops;3;;;;;;;;;"to taste; or use maple syrup";;
;;;;;;;;;;;;;;
Galia melon (organic);450.00;g;6;26.00;0.10;5.60;5.60;0.50;0.08;0.06;;fresh [117kcal, 25g sugar];;
Strawberries;450.00;g;6;31.00;0.40;5.80;5.70;0.80;0.00;0.06;;fresh or frozen [140kcal, 26g sugar];;
Watermelon;450.00;g;6;30.00;0.20;7.60;6.20;0.60;;0.06;;fresh [135kcal, 28g sugar];;
Honeydew melon (organic);450.00;g;6;36.00;0.10;9.10;8.10;0.50;0.08;0.08;;fresh [162kcal, 36g sugar];;
Kiwi;450.00;g;6;52.00;0.70;8.80;8.60;0.90;0.00;0.09;;fresh [234kcal, 39g sugar];;
Blueberries;450.00;g;6;48.00;0.40;9.10;8.90;0.40;0.00;0.09;;fresh or frozen [216kcal, 40g sugar];;
Cherries;450.00;g;6;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;fresh or frozen [275kcal, 43g sugar];;
Mango;450.00;g;6;62.00;0.50;13.00;13.00;0.60;0.00;0.13;;fresh or frozen [279kcal, 59g sugar];;
Pineapple in juice [Del Monte];450.00;g;6;68.00;;15.00;15.00;0.40;0.02;0.15;;canned [306kcal, 68g sugar];;
