Beso de Ángel (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;;;;;
Cherries;150.00;g;0;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;pit the cherries, or defrost them;;1
SweEX (Erythritol + Xylitol 3:2);30.00;g;2;109.60;;100.00;;;;2.56;;*alternative:* 40g allulose or dextrose;100.00;1
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];15.00;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 1.5g guar, 0.5g xanthan, and 0.5g salt;73.80;1
Whey + Casein protein (grass-fed) [Vilgain];15.00;g;2;384.00;4.60;5.70;5.60;80.00;0.50;0.06;90.40;with stevia;;1
Beet Root Powder (organic) [Mandoi];2.00;g;2;347.00;1.00;70.00;46.00;14.10;0.10;;;*optional*, for color;;1
;;;;;;;;;;;;;;
Flavor drops Vanilla (sucralose) [IronMaxx];≈8;drops;3;;;;;;;;;to taste;;
;;;;;;;;;;;;;;
Sultanas (organic) [Biojoy];15.00;g;4;298.00;0.60;68.00;67.00;2.50;0.02;0.67;;chopped [45kcal, 10g sugar];;
Almond slivers [naturix24];8.00;g;4;589.00;54.00;5.00;4.00;22.00;;;;chopped [47kcal, 0.3g sugar];;
Pecan nuts (organic) [Biojoy];8.00;g;4;721.00;72.00;4.30;4.00;9.20;0.00;0.04;;"crumbled; 10 halves = 15g [58kcal, 0.3g sugar]";;
White chocolate shavings [Ruf];10.00;g;4;559.00;35.00;56.00;56.00;5.90;0.23;;;35% fat [56kcal, 5.6g sugar];;
Cherries;40.00;g;4;61.00;0.10;13.60;9.60;0.90;0.00;0.10;;fresh or frozen [24kcal, 4g sugar];;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;81;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;;;;;;;;;;;;;;
