Peaches & Cream (Deluxe);;;;;;;;;;;;;;
;;;;;;;;;;;;;;
;Amount;Unit;;kcal;Fat;Carbs;Sugar;Protein;Salt;FPDF;MSNF;;;
Matcha green tea powder (organic) [Mandoi];;g;0;383.00;3.90;65.40;;29.30;0.01;;;"1tbsp = 6g; 1tsp = 2g";;1
Medjool dates (organic) [Seba Garden];;g;1;277.00;0.20;75.00;66.00;1.80;0.01;0.66;;"1 date = 20g; distinctive caramel taste with hints of vanilla";;1
Milk 1.5% (lactose free) [REWE];;ml;1;47.00;1.50;4.90;4.90;3.40;0.13;0.05;9.16;;;1
Milk 1.5% [Weihenstephan];;ml;1;47.00;1.50;4.90;4.90;3.50;0.11;0.05;9.16;;;1
Milk 2% fat (hi-protein) [Fairlife];;ml;1;50.00;1.88;2.50;2.50;5.42;0.13;0.03;9.13;US brand;;1
Milk 2% fat (hi-protein) [Natrel];;ml;1;64.00;2.00;3.60;3.60;7.20;0.08;0.04;9.11;Canadian brand;;1
Milk 3.5% [Weihenstephan];;ml;1;64.00;3.50;4.70;4.70;3.50;0.13;0.05;8.97;;;1
Milk 3.5% fat (hi-protein) [Fairlife];;ml;1;62.00;3.33;2.50;2.50;5.42;0.13;0.03;8.99;US brand;;1
Milk Chocolate 33% (organic) [Alnatura];;g;1;579.00;39.00;49.00;48.00;7.00;0.24;0.48;;;;1
Milk powder (full fat) [Mr. Brown];;g;2;482.00;26.00;35.00;35.00;25.00;0.94;0.35;69.00;;;1
Milk powder 1:10 (skim, SMP) [Vita2You];;g;2;358.00;0.97;50.50;50.50;35.00;1.00;0.51;94.03;;;1
Milk zero fat (hi-protein) [Fairlife];;ml;1;33.00;0.00;2.50;2.50;5.42;0.13;0.03;9.30;US brand;;1
Mint chocolate thins [After Eight];;g;4;426.00;12.90;73.50;67.80;2.10;0.03;;;"1pc ≈ 7.5g; freeze for more integrity [0kcal, 0g sugar]";;
Miso “Genmai” (organic, vegan) [Fairment];;g;1;196.00;7.20;17.80;10.50;10.80;11.50;0.11;;200g jar;;1
Molasses [Grafschafter Goldsaft];;g;1;306.00;0.50;70.00;66.00;2.30;0.03;0.66;;Sweetness = 66%;;1
Monk fruit sweetener;;g;2;;;;;;;0.10;;FPDF is guesstimated;;1
Nutella;;g;1;539.00;30.90;57.50;56.30;6.30;0.11;0.56;;;;1
Nutmeg;;g;2;;;;;;;;;"to taste; 1tsp ≈ 3g";;1
Oat milk 3% [Oatly Barista];;ml;1;61.00;3.00;7.10;3.40;1.10;0.10;0.03;8.00;;;1
Orange juice (freshly pressed);;ml;1;45.00;0.20;10.40;8.40;0.70;0.00;0.08;;;;1
Orange juice (with pulp) [Aldi];;ml;1;43.00;0.50;8.80;8.80;0.70;0.01;0.09;;;;1
Paella Rice (Bomba) [Santo Tomas];;g;0;344.00;0.68;76.90;0.21;7.00;0.01;;;Or short grain milk rice;;1
Pandan Leaves Extract 80% [Nang Fah];;ml;1;4.00;0.20;0.20;0.00;0.30;0.00;;;1 can = 400ml;;1
PB powder [Fitmeals];;g;2;387.00;14.00;30.00;6.00;50.00;0.00;0.06;;;;1
PB powder [Vilgain];;g;2;387.00;14.00;17.00;9.00;48.00;0.02;0.09;;;;1
PB powder [Vit4ever];;g;2;393.00;12.00;17.00;8.70;48.00;1.10;0.09;;;;1
Peaches in Grape Juice [Libby’s];;g;1;53.00;;12.00;9.00;0.50;;;;Can = 410g;;1
Peanut butter (creamy, organic) [REWE];;g;0;604.00;51.10;7.30;4.50;24.70;0.43;;;250g glass jar;;1
Peanut butter (crunchy, organic) [REWE];;g;0;604.00;51.00;7.30;4.50;25.00;0.43;;;250g glass jar;;1
Pear Juice;;ml;1;47.00;;11.00;10.50;;;0.11;;;;1
Pecan nuts (organic) [Biojoy];;g;5;721.00;72.00;4.30;4.00;9.20;0.00;0.04;;"10 halves = 15g; add as a topping [0kcal, 0g sugar]";;
Philadelphia Milka;;g;1;286.00;13.00;34.00;33.00;6.40;0.48;0.33;;;;1
Pineapple in juice [Del Monte];;g;1;68.00;;15.00;15.00;0.40;0.02;0.15;;Can = 565g;;1
Pineapple in juice [REWE];;g;1;69.00;;16.00;15.00;0.60;0.00;0.15;;Can = 227g (140g fruit);;1
Pistachio butter [Limfood];;g;1;621.00;47.00;29.30;4.92;15.20;0.00;-0.37;;90g container;;1
Pistachio butter [Pi-NUTS];;g;1;586.00;46.00;17.00;7.80;21.00;0.00;-0.34;;250g container;;1
Polydextrose (E1200) [SaporePuro];;g;2;191.00;0.00;4.70;3.73;0.00;0.83;;;91% fiber;;1
Pomegranate syrup (nar ekşisi) [fersan];;g;1;292.00;0.10;71.70;53.40;1.00;0.60;0.53;;0.76 ml/g;;1
Protein 59% (vegan, organic, natural) [Nature Love];;g;2;375.00;10.00;3.90;1.90;59.00;0.36;;78.00;Blend of ⅔ pumpkin and ⅓ sunflower seed;;1
Protein 79% (vegan, organic, natural) [Volksshake];;g;2;391.00;6.40;7.00;0.20;79.00;0.90;;89.00;Blend of organic pea, rice, hemp, chia, sunflower & pumpkin seed (with guar gum);;1
Pumpkin spice [DIY];;g;2;;;;;;;;;*Blend:* 21g cinnamon, 5g ginger, 4g nutmeg, 3g cloves, 2g allspice;;1
Pumpkin spice [Just Spices];;g;2;379.00;12.40;53.40;48.00;5.80;0.13;;;;;1
Raisins;;g;4;298.00;0.60;68.00;68.00;2.50;0.05;0.10;;;;
Raspberry Emulsion [LorAnn];;ml;1;;;;;;;;;1 tbsp/l (1.5%);;1
Red Wine 13 vol% (dry);;g;1;85.00;;0.69;0.69;;;1.23;;;;1
Rice pudding (classic) [REWE];;g;1;109.00;2.40;18.40;9.30;3.40;0.10;0.09;;1 cup = 200g;;1
Ricotta 9% fat (33% DM) [REWE Marca Italia];;g;1;134.00;9.00;3.20;3.20;10.00;0.16;0.03;14.83;;;1
Rothaus Radler Zäpfle 2.4 vol% (0.33l);;ml;1;34.00;0.50;5.30;4.80;;;0.27;;;;1
Sake 15 vol%;;g;1;134.00;;5.00;;;0.00;1.41;;;;1
Salt;;g;2;;;;;;100.00;5.90;;1 quick shakes (with my shaker);;1
Salty Prezels [Huober/REWE];;g;4;397.00;6.20;72.30;2.60;11.30;4.90;;;1 pretzel = 2g;;
Salty Stability [Inulin / GMS / CMC / Guar / XG / Salt];;g;2;267.5;3.6;88.4;5.9;0.3;3.5;0.06;;*not-as-good substitute:* 0g guar, 0g xanthan, and 0g salt;73.80;1
Scandic Bärgløgg 11 vol% [Katlenburger];;g;1;120.00;;;;;;1.03;;1 bottle = 750ml;;1
Jam “Black Cherry” [Schwartau Extra Zero];;g;5;59.00;0.20;15.40;7.10;0.50;0.03;;;"fruit spread, no added sugar; add as a topping [0kcal, 0g sugar]";8.00;
Sesame oil (roasted) [Diamond];;ml;1;828.00;92.00;0.50;0.50;0.50;0.01;;;;;1
Skyr “Vanilla” [Milsani / Aldi];;ml;1;77.00;0.20;9.50;8.60;8.80;0.13;0.09;17.80;"500g container; vanilla / blueberry/ cherry / strawberry flavors";;1
Skyr (unflavored) [Milsani / Aldi];;ml;1;65.00;0.20;4.40;4.40;10.60;0.15;0.04;17.80;"82% water; 500g container";;1
Skyr [arla];;ml;1;63.00;0.20;4.00;4.00;10.60;0.14;0.04;17.80;"82% water; 450g container";;1
Soda syrup “7up zero” [Sodastream];;ml;1;8.00;0.00;0.00;0.00;0.00;1.04;;;440ml bottle (1:19, yields 9l);;1
Soda syrup “afri cola zero” [Sodapop];;ml;1;0.00;0.00;0.00;0.00;0.00;0.01;;;500ml bottle (1:19, yields 10l);;1
Soda syrup “Schwipp Schwap zero” [Sodastream];;ml;1;24.00;0.00;0.00;0.00;0.00;0.48;;;440ml bottle (1:19, yields 9l);;1
Soda syrup “Squee zero Raspberry” [IronMaxx];;ml;1;69.00;0.00;1.80;0.00;0.00;1.30;;;65ml bottle (4:500, yields 8l);;1
Sorbitol;;g;2;250.00;;99.80;0.00;;;1.90;;POD 60%, GI 9;50.00;1
Soured milk 3.5% [Schwälbchen];;g;1;64.00;3.50;4.00;4.00;3.30;0.13;0.04;8.50;500g container;;1
Soy protein isolate (nature) [Powerstar];;g;2;372.00;1.00;1.00;0.00;89.80;2.50;;93.00;1kg bag, unsweetened, unflavored;;1
Soy sauce;;ml;1;75.00;0.00;7.40;6.70;7.20;17.10;0.07;;;;1
Stevia drops “natural” [Nick’s];;drops;3;;;;;;;;;to taste • unflavored;;
Stollen, coarsely cubed [REWE];;g;4;388.00;15.00;58.00;33.00;4.40;0.38;;;add as a mix-in [0kcal, 0g sugar];;0
